categorie,nom_contractant ,description,montant_transaction,arrondissement,numero_decision-resolution,numero_acte_notarie,
Modification d'acte,Cominar,"Approuver un projet d’acte par lequel la Ville de Montréal renonce à l’option de se porter acquéreur d’un terrain vacant connu et désigné comme étant une partie du lot 1 382 613 du cadastre du Québec, situé au 1555 rue Carrie-Derick , dans l’arrondissement Le Sud-Ouest, dans le cadre de la vente conclue le 9 février 2005 (CM05 0028).","0,00 $",Le Sud-Ouest,CM23 0419,99999999,
Modification d'acte,Coopérative D’Habitation Oasis Sauvé De Montréal,"Approuver un projet d'acte modifiant l'emphytéose entre la Ville de Montréal et la Coopérative d’habitation Oasis Sauvé de Montréal pour la propriété sise au 655 à 675 Rue Sauvé Est, dans l'arrondissement Ahuntsic-Cartierville, connue et désignée comme étant le lot 1 995 445 du cadastre du Québec, afin de prolonger la durée de l'emphytéose d'une période additionnelle de 17 ans, soit à partir du 30 novembre 2036 jusqu'au 29 novembre 2053, dont la rente annuelle sera de 15 600 $. - La rente annuelle consentie représente une subvention totale d'au moins 4 410 000 $ pour la période de la prolongation. Référence : 31H12-005-1856-01 / dossier 22-0064-T","15 600,00 $",Ahuntsic - Cartierville,CG23 0387,28272266,
Vente de gré à gré,Habitations communautaires Loggia,"Approuver un projet d’acte par lequel la Ville de Montréal vend à l'organisme à but non lucratif Habitations communautaires Loggia, à des fins de construction d'un projet de logements sociaux et communautaires, un immeuble vacant situé côté sud de l’avenue Mont-Royal, à l’ouest de la rue Augustin-Frigon dans l'arrondissement Rosemont-La Petite-Patrie, d’une superficie de 2 468,8 mètres carrés, pour un montant de 1 008 000 $, plus les taxes applicables, le cas échéant.","1 008 000,00 $",Rosemont - La Petite-Patrie,CG23 0562,28411699,
"Demande d'intervention, de permission et d'autorisation d'effectuer des travaux",Énergir Société En Commandite,"Approuver une entente par laquelle la Ville permet à Énergir, société en commandite, d'occuper de façon permanente une emprise d'une superficie approximative de 225 m², sur l'immeuble situé au 3535, rue Sartelon, dans l'arrondissement Saint-Laurent, aux fins d'une conduite souterraine de gaz, le tout, pour un montant de 12 400 $","12 400,00 $",Saint-Laurent,CG23 0018,non applicable,
Acquisition de servitude,École De Technologie Supérieure,"Approuver un projet d’acte aux termes duquel l'École de technologie supérieure crée en faveur de la Ville, sans considération monétaire, une servitude réelle et perpétuelle d'aménagement à des fins publiques, d'une superficie de 14 m², grevant l’emplacement situé au sud-est de la rue Saint-Jacques entre la rue Peel et la rue de la Cathédrale dans l’arrondissement de Ville-Marie. N/Réf. : 31H05-005-7970-02 / Mandat 21-0549-T","0,00 $",Ville-Marie,DA224501001,28217710,
Acquisition de gré à gré - sans bâtiment,Les Cours Bellerive,"Approuver un projet d'acte par lequel la Ville acquiert de Développements Les Cours Bellerive inc., un terrain vacant connu et désigné comme étant le lot 6 377 181 du cadastre du Québec, d’une superficie de 2 317,7 m², situé à l'angle nord-ouest de la rue Notre-Dame et de l'avenue Messe dans l’arrondissement de Mercier – Hochelaga - Maisonneuve, à des fins de logements sociaux et communautaires pour la somme de 1 080 000 $, plus les taxes applicables, le cas échéant.","1 080 000,00 $",Mercier - Hochelaga-Maisonneuve,CG23 0649,28516611,
Acquisition de gré à gré - sans bâtiment,Hydro-Québec,"Approuver un projet d’acte par lequel la Ville de Montréal acquiert d'Hydro-Québec, un terrain vacant situé à l'intérieur des limites du Grand parc de l'Ouest dans l'arrondissement de Pierrefonds-Roxboro, connu et désigné comme étant le lot 1 977 325 du cadastre du Québec, d'une superficie de 31 215,40 mètres carrés, à des fins de parc régional, pour un montant de 940 000 $ plus les taxes applicables. N/Réf. : 31H05-005-6710-01 Mandat : 21-0413-T.","940 000,00 $",Pierrefonds - Roxboro,CG23 0256,25081816,
Acquisition de gré à gré - avec bâtiment,Pierre Beaudoin, Ginette Durand,"Approuver un projet d’acte de vente par lequel la Ville de Montréal acquiert de Mme Ginette Durand et M. Pierre Beaudoin, un terrain d’une superficie de 1 350,7 mètres carrés, sur lequel est érigé le bâtiment sis au 16 250 rue Bureau, dans l’arrondissement de Rivière des Prairies-Pointe aux Trembles, connu et désigné comme étant le lot 2 663 853 du cadastre du Québec, afin d’élargir la plage de l’Est,  pour le prix de 900 000 $ plus les taxes applicables, le cas échéant. / Verser au domaine public de la Ville le lot 2 663 853 du cadastre du Québec.","900 000,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CA23 30 05 0132,28062333
Acquisition de gré à gré - sans bâtiment,Les Sœurs De Sainte-Marcelline,"Approuver le projet d'acte par lequel Les Soeurs de Sainte-Marcelline vendent à la Ville de Montréal, un terrain vacant et assujettissent à une servitude d'utilités publiques des parties vacantes du terrain contigu, situé au 9167, boulevard Gouin Ouest dans l'arrondissement d'Ahuntsic-Cartierville, dans le cadre du projet de réaménagement du boulevard Gouin Ouest, pour le prix de 220 000 $, plus les taxes applicables. N/Réf. : 31H12-005-0541-03","220 000,00 $",Ahuntsic - Cartierville,CG23 0344,28388546,
Acquisition de gré à gré - sans bâtiment,Urban Capital-Harbour (Ml) Inc.,"Approuver un projet d'acte par lequel la Ville acquiert de Urban Capital-Harbour (ML) inc., un terrain vacant, désigné comme étant le lot  6 387 457 du cadastre du Québec, d'une superficie de 1 785,2 m², situé dans le projet immobilier Cité Midtown, sis au 200-250 boulevard Marcel-Laurin, au nord de l'autoroute 40, dans l'arrondissement de Saint-Laurent, aux fins de logements sociaux et communautaires, pour la somme de 1 032 000 $, plus les taxes applicables le cas échéant./ Accorder mainlevée pure et simple de l'hypothèque créée en faveur de la Ville afin de garantir les engagements relatifs au terrain social. N/Réf. : 31H12-005-0153-02 / Mandat : 21-0204-T.","1 032 000,00 $",Saint-Laurent,CG23 0164,28008472,
